workbook_name,sheet_name,sheet_state,max_row_reported,max_column_reported,rows_scanned,columns_scanned,first_non_empty_row_candidate,probable_header_row,probable_data_start_row,blank_rows_in_sample,sample_non_empty_cells,region_keyword_hits,year_keyword_hits,total_keyword_hits,source_keyword_hits,region_candidate_count,year_candidate_count,detected_years,analytical_clues
2022-Chapter-II-Health-Resources.xlsx,2.23,visible,176,21,40,21,1,14,15,0,498,2,1,36,0,10,0,,"region, year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.24,visible,158,21,40,21,1,13,14,0,498,2,3,36,0,9,0,,"region, year, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.25,visible,27,56,27,40,1,4,5,8,281,0,1,4,0,0,1,2022,"year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.26,visible,120,28,40,28,1,14,15,1,474,0,1,36,1,1,0,,"year, hospital, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.27,visible,130,24,40,24,1,7,8,0,607,0,4,10,0,0,0,,"year, hospital, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.28,visible,78,20,40,20,1,12,13,11,225,0,4,18,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.29,visible,31,29,31,29,1,4,7,6,246,4,1,2,0,18,0,,"region, year, hospital, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.30,visible,29,25,29,25,1,5,7,3,383,4,1,2,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.31,visible,34,40,34,40,1,4,5,5,504,4,2,4,0,18,0,,"region, year, hospital, bed"
2022-Chapter-II-Health-Resources.xlsx,2.32,visible,19,37,19,37,1,4,5,0,275,5,3,4,0,10,0,,"region, year, physician"
2022-Chapter-II-Health-Resources.xlsx,2-33,visible,78,16,40,16,1,12,13,11,199,0,4,18,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.34,visible,181,24,40,24,1,14,15,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.35,visible,178,17,40,17,1,14,15,0,498,2,1,36,0,9,0,,"region, year, hospital, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.36,visible,176,16,40,16,1,14,15,0,498,2,1,36,0,9,0,,"region, year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.37,visible,131,31,40,31,1,7,8,0,1066,2,4,14,0,6,0,,"region, year, bed, physician"
2022-Chapter-II-Health-Resources.xlsx,2.38,visible,31,29,31,29,1,7,8,0,472,0,1,30,0,0,0,,"year, hospital, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.39,visible,72,11,40,11,1,4,6,1,111,0,3,0,0,0,0,,"year, bed, nurse"
2022-Chapter-II-Health-Resources.xlsx,2.40,visible,19,3,19,3,1,4,6,0,50,0,1,2,0,0,0,,"year, physician, nurse"
2022-Chapter-II-Health-Resources.xlsx,2-41,visible,126,7,40,7,1,6,7,0,241,0,2,2,0,12,2,2022,year
2022-Chapter-II-Health-Resources.xlsx,2.42,visible,112,7,40,7,1,6,7,0,241,0,2,2,0,13,2,2021,year
2022-Chapter-II-Health-Resources.xlsx,2.43,visible,107,14,40,14,1,4,5,0,165,2,13,0,0,5,25,"2021, 2022","region, year, hospital"
2022-Chapter-II-Health-Resources.xlsx,2.44,visible,45,31,40,31,1,4,5,0,173,3,0,0,0,21,27,"2021, 2022","region, hospital"
2022-Chapter-II-Health-Resources.xlsx,2-45,visible,135,14,40,14,1,4,5,0,155,2,0,0,0,9,24,"2021, 2022","region, hospital, bed"
2022-Chapter-IV-Health-Activities.xlsx,فهرس الباب الرابع,visible,122,38,40,38,1,2,3,0,63,30,19,1,0,0,0,,"region, year, population, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,1,visible,29,9,29,9,1,4,5,3,185,4,1,4,0,18,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,2,visible,26,11,26,11,1,5,6,0,161,4,1,4,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,3,visible,26,7,26,7,1,5,6,0,162,5,1,4,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,4,visible,54,13,40,13,1,5,6,14,162,5,1,4,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,5,visible,29,38,29,38,1,4,5,3,140,4,1,5,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,6,visible,48,21,40,21,1,6,7,6,309,4,3,3,0,18,2,"2021, 2022","region, year, population, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,7,visible,26,7,26,7,1,6,7,5,118,4,1,2,0,20,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,8,visible,21,10,21,10,1,6,7,1,164,4,1,4,0,20,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,9,visible,32,12,32,12,1,5,6,13,111,4,3,2,0,20,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,10,visible,76,15,40,15,1,10,11,21,84,0,2,4,0,1,0,,"year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,4.11,hidden,25,5,25,5,1,4,5,0,74,4,1,3,0,18,0,,"region, year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,112020,hidden,26,23,26,23,1,4,5,0,400,6,1,4,0,36,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,11,visible,24,12,24,12,1,4,5,3,191,4,1,2,2,20,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,12,visible,25,9,25,9,1,9,10,15,47,0,4,2,0,0,0,,"year, population, activity"
2022-Chapter-IV-Health-Activities.xlsx,13,visible,39,7,39,7,1,5,6,8,195,4,1,4,0,19,4,2022,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,14,visible,27,29,27,29,1,4,5,9,77,0,1,2,0,0,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,15,visible,20,10,20,10,1,5,6,2,126,0,2,5,1,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,16,visible,32,10,32,10,1,4,5,4,187,4,2,2,2,18,0,,"region, year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,17,visible,33,14,33,14,1,4,5,4,330,4,2,4,2,18,1,2021,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,18,visible,32,7,32,7,1,4,5,4,144,4,2,3,2,18,0,,"region, year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,19,visible,32,8,32,8,1,4,5,5,188,4,1,4,2,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,20,visible,28,10,28,10,1,6,7,1,236,4,2,4,0,18,0,,"region, year, hospital, bed"
2022-Chapter-IV-Health-Activities.xlsx,21,visible,28,23,28,23,1,5,6,1,186,4,1,0,2,18,0,,"region, year, hospital, bed"
2022-Chapter-IV-Health-Activities.xlsx,22,visible,28,17,28,17,1,5,6,1,186,4,1,0,2,18,0,,"region, year, hospital, bed"
2022-Chapter-IV-Health-Activities.xlsx,23,visible,37,13,37,13,1,4,5,10,119,4,1,0,2,18,0,,"region, year, hospital, bed"
2022-Chapter-IV-Health-Activities.xlsx,24,visible,62,14,40,14,1,15,16,24,66,0,0,4,0,0,0,,"hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,4.22,hidden,25,5,25,5,1,4,5,0,74,4,1,3,0,18,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,25,visible,20,9,20,9,1,9,10,10,48,0,3,2,0,0,0,,"year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,26,visible,31,16,31,16,1,6,7,2,319,4,1,7,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,27,visible,17,13,17,13,1,15,16,1,151,0,1,7,0,0,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,28,visible,34,7,34,7,1,15,16,5,120,2,1,4,0,18,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,29,visible,40,61,40,40,1,7,8,12,349,4,2,4,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,30,visible,130,59,40,40,1,7,8,2,446,0,2,4,0,6,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,4-32,hidden,85,61,40,40,1,7,8,4,211,4,2,4,0,20,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,32ملغى,hidden,35,29,35,29,1,4,6,8,73,4,1,2,2,18,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,31,visible,24,9,24,9,1,14,15,0,163,0,1,4,0,1,0,,"year, hospital, activity"
2022-Chapter-IV-Health-Activities.xlsx,32,visible,26,15,26,15,1,8,9,1,268,0,1,2,2,4,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,33,visible,21,9,21,9,1,5,6,3,113,0,1,2,2,2,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,34,visible,14,6,14,6,1,4,5,5,38,0,1,2,0,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,35,visible,27,11,27,11,1,10,,17,43,0,1,2,0,0,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,36,visible,29,11,29,11,1,7,8,1,188,2,1,4,0,19,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,37,visible,13,28,13,28,1,12,,1,63,0,1,4,0,0,0,,year
2022-Chapter-IV-Health-Activities.xlsx,38,visible,61,49,40,40,1,5,6,24,150,0,1,4,1,1,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,39,visible,22,30,22,30,1,7,8,0,248,0,3,3,2,0,1,2022,"year, nurse"
2022-Chapter-IV-Health-Activities.xlsx,40,visible,32,30,32,30,1,4,5,6,94,4,1,2,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,41,visible,106,41,40,40,1,4,8,15,444,4,1,3,0,18,0,,"region, year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,42,visible,20,12,20,12,1,4,5,13,32,0,1,0,0,0,0,,"year, activity"
2022-Chapter-IV-Health-Activities.xlsx,43,visible,15,10,15,10,1,15,,0,50,0,2,2,0,0,0,,"year, hospital"
2022-Chapter-IV-Health-Activities.xlsx,4.50,hidden,32,5,32,5,1,4,5,6,54,4,1,2,0,18,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,44,visible,17,27,17,27,1,4,5,1,93,4,1,3,0,12,0,,"region, year"
2022-Chapter-IV-Health-Activities.xlsx,45,visible,31,37,31,37,1,4,5,5,117,4,1,3,0,18,0,,"region, year, activity"
2022-Chapter-IV-Health-Activities.xlsx,46,visible,18,23,18,23,1,4,5,11,32,0,1,0,0,0,0,,"year, activity"
