workbook_name,sheet_name,row_number,column_number,year_candidate,cell_value
2022-Chapter-II-Health-Resources.xlsx,2.44,20,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,21,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,22,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,23,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,25,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,28,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,29,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,30,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,31,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,32,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,33,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,35,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2.44,38,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2.44,39,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,5,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,6,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,7,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,8,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,9,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,10,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,11,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,12,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,13,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,14,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,15,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,16,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,17,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,18,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,19,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,20,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,21,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,22,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,23,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,25,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,26,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,27,5,2022,2022
2022-Chapter-II-Health-Resources.xlsx,2-45,28,5,2021,2021
2022-Chapter-II-Health-Resources.xlsx,2-45,31,5,2021,2021
2022-Chapter-IV-Health-Activities.xlsx,6,37,2,2021,2021
2022-Chapter-IV-Health-Activities.xlsx,6,38,2,2022,2022
2022-Chapter-IV-Health-Activities.xlsx,13,29,7,2022,2022
2022-Chapter-IV-Health-Activities.xlsx,13,30,7,2022,2022
2022-Chapter-IV-Health-Activities.xlsx,13,31,7,2022,2022
2022-Chapter-IV-Health-Activities.xlsx,13,32,7,2022,2022
2022-Chapter-IV-Health-Activities.xlsx,17,22,10,2021,2021
2022-Chapter-IV-Health-Activities.xlsx,39,1,1,2022,خدمات مركز رعاية وتأهيل الأطفال ذوي الإعاقة حسب العمر خلال عام 2022
2022-Chapter-IV-Health-Activities.xlsx,48,1,1,2022,الحالات المعروضة على مراكز الطب الشرعي بوزارة الصحة حسب المنطقة الصحية وطبيعة الفحص الطبي الشرعي لعام 2022
2022-Chapter-IV-Health-Activities.xlsx,55,4,5,2022,عدد الحالات تحت الخدمة نهاية 2022
2022-Chapter-IV-Health-Activities.xlsx,55,4,6,2022,عدد المستفيدين التراكمي نهاية عام 2022
2022-Chapter-IV-Health-Activities.xlsx,55,5,5,2022,Number of cases under service (end of 2022)
2022-Chapter-IV-Health-Activities.xlsx,55,5,6,2022,Cumulative number of Beneficiaries by the end of 2022
2022-Chapter-IV-Health-Activities.xlsx,fig1,9,25,2022,2022-Jan
2022-Chapter-IV-Health-Activities.xlsx,fig1,10,25,2022,2022-Feb
2022-Chapter-IV-Health-Activities.xlsx,fig1,11,25,2022,2022-Mar
2022-Chapter-IV-Health-Activities.xlsx,fig1,12,25,2022,2022-Apr
2022-Chapter-IV-Health-Activities.xlsx,fig1,13,25,2022,2022-May
2022-Chapter-IV-Health-Activities.xlsx,fig1,14,25,2022,2022-Jun
2022-Chapter-IV-Health-Activities.xlsx,fig1,15,25,2022,2022-Jul
2022-Chapter-IV-Health-Activities.xlsx,fig1,16,25,2022,2022-Aug
2022-Chapter-IV-Health-Activities.xlsx,fig1,17,25,2022,2022-Sep
2022-Chapter-IV-Health-Activities.xlsx,fig1,18,25,2022,2022-Oct
2022-Chapter-IV-Health-Activities.xlsx,fig1,19,25,2022,2022-Nov
2022-Chapter-IV-Health-Activities.xlsx,fig1,20,25,2022,2022-Dec
2022-Chapter-IV-Health-Activities.xlsx,fig2,9,25,2022,2022-Jan
