comparison_group_id,source_year,workbook_name,sheet_name,chapter,topic,likely_table_title,geography_level_candidate,max_rows,max_columns,probable_header_row,probable_data_start_row,region_candidate_count,detected_years,group_geography_levels,comparison_status,manual_validation_required
FY-002,2022,2022-Chapter-IV-Health-Activities.xlsx,56,Health Activities,Other,Table 4-56,Unknown / National / Other,16,15,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5,Unknown / Other,Other,Table 1-5,Unknown / National / Other,18,7,5,6,0,"2021, 2022",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,8,Unknown / Other,Other,Table 1-8,Unknown / National / Other,23,5,7,8,0,"2021, 2022, 2023",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,11,Unknown / Other,Other,Table 1-11,Unknown / National / Other,13,12,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,3-3,Unknown / Other,Other,Table 3-3,Unknown / National / Other,39,16,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,3-4,Unknown / Other,Other,Table 3-4,Unknown / National / Other,38,10,5,6,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,3-5,Unknown / Other,Other,Table 3-5,Unknown / National / Other,220,18,6,7,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,57,Unknown / Other,Other,Table 4-57,Unknown / National / Other,16,10,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-1,Unknown / Other,Other,Table 5-1,Unknown / National / Other,18,16,13,14,0,"2021, 2022, 2023",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-9,Unknown / Other,Other,Table 5-9,Health Region,31,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-10,Unknown / Other,Other,Table 5-10,Health Region,31,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-11,Unknown / Other,Other,Table 5-11,Health Region,31,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-13,Unknown / Other,Other,Table 5-13,Health Region,32,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-14,Unknown / Other,Other,Table 5-14,Health Region,32,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-15,Unknown / Other,Other,Table 5-15,Health Region,32,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2023,Statistical-Yearbook-2023.xlsx,5-16,Unknown / Other,Other,Table 5-16,Health Region,31,16,9,10,4,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,1-6,Health Indicators,Other,Table 1-6,Unknown / National / Other,20,4,5,6,0,"2021, 2022, 2023, 2024",Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,1-10,Health Indicators,Other,Table 1-10,Unknown / National / Other,12,12,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,2-52,Health Resources,Other,Table 2-52,Unknown / National / Other,56,50,4,5,28,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-2,Unknown / Other,Other,جدول 3-2,Unknown / National / Other,51,31,4,5,19,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-3,Unknown / Other,Other,Table 3-3,Unknown / National / Other,39,16,4,5,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-4,Unknown / Other,Other,Table 3-4,Unknown / National / Other,38,10,5,6,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-5,Unknown / Other,Other,Table 3-5,Unknown / National / Other,217,15,6,7,0,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-7,Unknown / Other,Other,Table 3-7,Unknown / National / Other,36,35,6,7,19,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3-8,Unknown / Other,Other,Table 3-8,Unknown / National / Other,36,35,6,7,19,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
FY-002,2024,Statistical-Yearbook-2024.xlsx,3.9,Unknown / Other,Other,Table 3-9,Unknown / National / Other,35,7,4,5,19,,Health Region | Unknown / National / Other,CANDIDATE_ONLY,YES
