source_value,occurrence_count,candidate_level,canonical_value,mapping_status,mapping_note
Riyadh National Hospital,3,Unknown / National / Other,,REVIEW,
Al -Bahah,3,Unknown / National / Other,,REVIEW,
Albaha,3,Unknown / National / Other,,REVIEW,
Northern Borders Border,3,Unknown / National / Other,,REVIEW,
Al-jouf,2,Unknown / National / Other,,REVIEW,
المدينة,2,Unknown / National / Other,,REVIEW,
جازان Jazan,2,Unknown / National / Other,,REVIEW,
عسير Aseer,2,Unknown / National / Other,,REVIEW,
التجمع الاول بجدة,2,Health Cluster,,REVIEW,
التجمع الثاني بجدة,2,Health Cluster,,REVIEW,
تجمع الحدود الشمالية الصحي,2,Health Cluster,,REVIEW,
المرافق الصحية بوزارة الصحة حسب التجمعات الصحية عام 2024م,2,Health Cluster,,REVIEW,
"Health Utilities in MoH by Health Clusters, 2024G",2,Health Cluster,,REVIEW,
مستشفيات وزارة الصحة وعدد الأسرة حسب التجمعات الصحية والتخصص لعام 2024م,2,Health Cluster,,REVIEW,
"MoH Hospitals and Beds by Health Clusters and Speciality, 2024G",2,Health Cluster,,REVIEW,
مستشفيات وزارة الصحة حسب التجمعات الصحية والسعة السريرية للعام 2024م,2,Health Cluster,,REVIEW,
"MoH Hospitals by Health Clusters and Bed Capacity, 2024G",2,Health Cluster,,REVIEW,
الأسرة بمستشفيات وزارة الصحة حسب التجمع الصحي والتخصص لعام 2024م,2,Health Cluster,,REVIEW,
"Beds at MoH Hospitals By Health Cluster and Speciality, 2024G.",2,Health Cluster,,REVIEW,
RIYADH ELM UNIVERSITY,2,Unknown / National / Other,,REVIEW,
زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,2,Health Cluster,,REVIEW,
"MoH PHC Encounters and Consultations by Health Clusters, Gender and Nationality, 2024G.",2,Health Cluster,,REVIEW,
زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة حسب التجمعات الصحية والفئة العمرية عام 2024م.,2,Health Cluster,,REVIEW,
"MoH PHC Encounters and Consultations by Health Clusters and Age Groups, 2024G.",2,Health Cluster,,REVIEW,
زيارات مراجعي الطوارئ المرضية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,,REVIEW,
"Medical Emergency Encounters in MoH Hospitals by Health Clusters, Gender and Nationality, 2024G.",2,Health Cluster,,REVIEW,
زيارات مراجعي الطوارئ الجراحية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,,REVIEW,
"Surgical Emergency Encounters in MoH Hospitals by Health Clusters, Gender and Nationality, 2024G.",2,Health Cluster,,REVIEW,
زيارات مراجعي العيادات الخارجية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,,REVIEW,
"Encounters to Outpatient Clinics in MoH Hospitals by Gender, Nationality and Health Clusters, 2024G.",2,Health Cluster,,REVIEW,
زيارات المراجعين لمراكز الرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة حسب التجمعات الصحية عام 2024م,2,Health Cluster,,REVIEW,
"PHCs' Encounters and Outpatients of MoH Hospitals by Health Clusters, 2024G.",2,Health Cluster,,REVIEW,
المدينة المنوره,1,Unknown / National / Other,,REVIEW,
مكة,1,Unknown / National / Other,,REVIEW,
cluster 1 riyadh without rehab,1,Health Cluster,,REVIEW,
cluster 2 riyadh,1,Health Cluster,,REVIEW,
riyadh region,1,Health Region,,REVIEW,
Eastern Region,1,Health Region,,REVIEW,
Albaha region,1,Health Region,,REVIEW,
Aljouf region,1,Health Region,,REVIEW,
المدينة الطبية,1,Unknown / National / Other,,REVIEW,
مدينة الملك فهد الطبية بالرياض,1,Unknown / National / Other,,REVIEW,
KFMC RIYADH,1,Unknown / National / Other,,REVIEW,
مستشفى الملك خالد التخصصي للعيون بالرياض,1,Unknown / National / Other,,REVIEW,
KKESH RIYADH,1,Unknown / National / Other,,REVIEW,
الرياض*,1,Unknown / National / Other,,REVIEW,
Riyadh*,1,Unknown / National / Other,,REVIEW,
الشرقية*,1,Unknown / National / Other,,REVIEW,
Eastern*,1,Unknown / National / Other,,REVIEW,
الجوف*,1,Unknown / National / Other,,REVIEW,
Al-Jouf*,1,Unknown / National / Other,,REVIEW,
مديريات الشؤون الصحية السابقة بالمناطق والمحافظات وما يقابلها من المناطق الإدارية والمحافظات والتجمعات الصحية وفروع ومكاتب وزارة الصحة,1,Health Cluster,,REVIEW,
فرع الوزارة بمنطقة الرياض,1,Unknown / National / Other,,REVIEW,
جميع محافظات منطقة الرياض,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة مكة المكرمة,1,Unknown / National / Other,,REVIEW,
مكة المكرمة (مقر الإمارة) ومحافظات الجموم وخليص والكامل وبحرة,1,Unknown / National / Other,,REVIEW,
فرع الوزارة بمنطقة المدينة المنورة,1,Unknown / National / Other,,REVIEW,
