year_a,workbook_a,sheet_a,title_a,year_b,workbook_b,sheet_b,title_b,topic,similarity_score,manual_validation_required
2022,2022-Chapter-II-Health-Resources.xlsx,2-2,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,2023,Statistical-Yearbook-2023.xlsx,2.,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,Population | Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-2,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,2024,Statistical-Yearbook-2024.xlsx,2-2,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب الجهة ومعدل الأسرة لكل عشرة آلاف من السكان في الأعوام الخمسة الأخيرة,Population | Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-3,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب المنطقة الصحية 2022م,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-3,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب المنطقة الصحية 2021م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-3,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب المنطقة الصحية 2022م,2023,Statistical-Yearbook-2023.xlsx,3.,المستشفيات والأسرة بالقطاعات الصحية بالمملكة حسب المنطقة الصحية 2023م,Capacity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Health Manpower in KSA Health Sectors in the Last Five Years,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-4,Health Manpower in KSA Health Sectors in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Health Manpower in KSA Health Sectors in the Last Five Years,2023,Statistical-Yearbook-2023.xlsx,4.,Health Manpower in KSA Health Sectors in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Health Manpower in KSA Health Sectors in the Last Five Years,2024,Statistical-Yearbook-2024.xlsx,2-17,Health Manpower in KSA Health Sectors in the Last Five Years,Workforce,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-5,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2022G",2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-5,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-5,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2022G",2023,Statistical-Yearbook-2023.xlsx,5.,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2023G",Workforce | Activity,1.0,YES
2022,2022-Chapter-II-Health-Resources.xlsx,2-5,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2022G",2024,Statistical-Yearbook-2024.xlsx,2-19,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2024G",Workforce | Activity,1.0,YES
