source_value,occurrence_count,original_candidate_level,proposed_geography_type,canonical_health_region,canonical_health_cluster,parent_health_region,valid_from_year,valid_to_year,mapping_status,mapping_note
الأسرة بمستشفيات وزارة الصحة حسب التجمع الصحي والتخصص لعام 2024م,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الاول بجدة,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الثاني بجدة,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
المرافق الصحية بوزارة الصحة حسب التجمعات الصحية عام 2024م,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
تجمع الحدود الشمالية الصحي,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات المراجعين لمراكز الرعاية الصحية الأولية والعيادات الخارجية بمستشفيات وزارة الصحة حسب التجمعات الصحية عام 2024م,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات مراجعي الطوارئ الجراحية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات مراجعي الطوارئ المرضية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات مراجعي العيادات الخارجية بمستشفيات وزارة الصحة حسب الجنس والجنسية والتجمعات الصحية عام 2024م.,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة حسب التجمعات الصحية والجنس والجنسية عام 2024م.,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
زيارات واستشارات الرعاية الصحية الأولية بوزارة الصحة حسب التجمعات الصحية والفئة العمرية عام 2024م.,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
مستشفيات وزارة الصحة حسب التجمعات الصحية والسعة السريرية للعام 2024م,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
مستشفيات وزارة الصحة وعدد الأسرة حسب التجمعات الصحية والتخصص لعام 2024م,2,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Admissions at MoH Hospitals by Health Clusters, Gender and Nationality, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Discharges from MoH Hospitals by Health Cluster, Gender and Nationality, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"ER Beds at MoH Hospitals By Health Clusters, 2024G",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Encounters to Dental Clinics, MoH by Gender, Nationality and Health Cluster, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Encounters to Diabetic Clinics, MOH Hospitals by Gender, Nationality and Health Cluster, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
First Health Cluster - Jeddah,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
First Health Cluster - Riyadh,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Former Health Affairs Directorates and their Corresponding Administrative Regions, Governorates, Health Clusters, and Branches & Offices of the Ministry of Health",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Inpatients at Long-term Hospitals and Long-term Beds of General Hospitals of MoH by Health Cluster, 2024 G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Intensive Care Beds at MoH Hospitals By Health Cluster and Type of Intensive Care Bed, 2024G",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Laboratory Investigations at MoH Hospitals by Health Cluster and Type of Investigation, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Main Dental Services in Dental Centers, MoH by Type of Service and Health Cluster, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Makkah Health Cluster - The Holy Capital,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Northern Borders Health Cluster,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Number of Completed Virtual Appointments at Ministry of Health Facilities by Health Cluster, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Oral Surgery and Teeth Extraction at MoH Facilities by Health Cluster, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Second Health Cluster - Jeddah,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Second Health Cluster - Riyadh,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Selected Indicators of MoH Hospital Services by Health Clusters, 2024G",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Some Selected Indicators of MoH Psychiatric, Long Term Care and Rehabilitation Hospitals by Health Clusters, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
"Surgical Interventions at MoH Hospitals by Health Clusters and Hospital Sections, 2024G.",1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Ta`if Health Cluster,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Third Health Cluster - Riyadh,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
Total Asir Health Cluster,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
cluster 1 riyadh without rehab,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
cluster 2 riyadh,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
أسرة الطوارئ بمستشفيات وزارة الصحة حسب التجمعات الصحية لعام 2024م,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
أسرة العناية المركزة بمستشفيات وزارة الصحة حسب التجمعات الصحية ونوع العناية لعام 2024م,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
إجمالي التجمع الصحي بمكة المكرمة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
إجمالي تجمع عسير الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
الإحالات شاملة الإحالات العكسية التي تمت إحالتها إلى المستشفيات الحكومية العامة أو التخصصية حسب التجمع المحيل والمستقبل عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي الأول بالرياض,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي الأول بجدة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي الثالث بالرياض,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي الثاني بالرياض,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي الثاني بجدة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي بالطائف,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي بالقصيم,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي بالمدينة المنورة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي بمكة المكرمة - العاصمة المقدسة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمع الصحي بمكة المكرمة - القنفذة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمعات الصحي,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمعات الصحية المرسلة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التجمعات الصحية المستقبلة,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
التدخلات الجراحية بمستشفيات وزارة الصحة حسب التجمعات الصحية والقسم لعام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
الخدمات الرئيسية للأسنان بمراكز طب الأسنان بوزارة الصحة حسب نوع الخدمة والتجمع الصحي عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
العمليات الجراحية للفك والأسنان وحالات الخلع بوزارة الصحة حسب التجمعات الصحية عام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
الفحوص المخبرية بمستشفيات وزارة الصحة حسب التجمعات الصحية ونوع الفحص لعام 2024م.,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
المؤشرات المختارة عن خدمات مستشفيات وزارة الصحة حسب التجمعات الصحية عام 2024م .,1,Health Cluster,HEALTH_CLUSTER,,,,,,REVIEW,
