source_value,occurrence_count,original_candidate_level,proposed_geography_type,canonical_health_region,canonical_health_cluster,parent_health_region,valid_from_year,valid_to_year,mapping_status,mapping_note
MoH Branch in Eastern Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Hail Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Madinah Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Makkah Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Northern Borders Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Qassim Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Riyadh Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
MoH Branch in Tabuk Region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Najran FTU,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Northern Borders FTU,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Other Governmental Hospitals- Riyadh,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Qassim FTSA,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Riyadh FTSA,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
Riyadh*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
riyadh region,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بالباحة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بالرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بالقصيم,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بالمدينة المنورة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بتبوك,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بجازان,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بعسير,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
إدارة خدمات السموم الشرعية بمكة المكرمة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الجوف*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الرياض*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الشرقية*,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
الطب الرياضي,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة الطبية,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة الطبية الجامعية بمدينة الملك سعود,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
المدينة المنوره,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات المنطقة الشرقية عدا محافظتي الأحساء وحفر الباطن,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة الحدود الشمالية,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة الرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة القصيم,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة المدينة المنورة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة تبوك,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة حائل,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
جميع محافظات منطقة عسير عدا محافظات بيشىة وتثليث وبالقرن والأمواه,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بالمنطقة الشرقية,1,Health Region,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة الحدود الشمالية,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة الرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة القصيم,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة المدينة المنورة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة تبوك,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة حائل,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة عسير,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
فرع الوزارة بمنطقة مكة المكرمة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مدينة الملك فهد الطبية بالرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفى الملك خالد التخصصي للعيون بالرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مستشفيات جهات حكومية أخرى بالرياض,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مكة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
مكة المكرمة (مقر الإمارة) ومحافظات الجموم وخليص والكامل وبحرة,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
وحدة خدمات السموم الشرعية بالجوف,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
وحدة خدمات السموم الشرعية بالحدود الشمالية,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
وحدة خدمات السموم الشرعية بحائل,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
وحدة خدمات السموم الشرعية بنجران,1,Unknown / National / Other,HEALTH_REGION_OR_ADMIN_REGION_REVIEW,,,,,,REVIEW,
