Year,Measure,Value
2021,Beds,77224.0
2021,Hospitals,497.0
2022,Beds,78440.0
2022,Hospitals,493.0
2023,Beds,80072.0
2023,Hospitals,499.0
2024,Beds,82721.0
2024,Hospitals,516.0
