comparison_group_id,source_year,topic,workbook_name,sheet_name,grain_candidate,geography_candidate,units_candidate,confirmed_grain,confirmed_key_columns,confirmed_measure_columns,manual_status
FY-010,2024,Capacity | Workforce,Statistical-Yearbook-2024.xlsx,2-42,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-011,2021,Capacity | Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.22,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-011,2022,Capacity | Workforce,2022-Chapter-II-Health-Resources.xlsx,2.22,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-011,2023,Capacity | Workforce,Statistical-Yearbook-2023.xlsx,27,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-011,2024,Capacity | Workforce,Statistical-Yearbook-2024.xlsx,2-43,Year × National / Other Geography × Workforce Type / Profession × Facility / Capacity Measure,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-012,2021,Capacity | Activity,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.25,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-012,2022,Capacity | Activity,2022-Chapter-II-Health-Resources.xlsx,2.25,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-012,2023,Capacity | Activity,Statistical-Yearbook-2023.xlsx,30,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-012,2024,Capacity | Activity,Statistical-Yearbook-2024.xlsx,2-10,Year × National / Other Geography × Facility / Capacity Measure × Activity Type,UNKNOWN_OR_NATIONAL,BEDS,,,,PENDING
FY-013,2021,Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2.28,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-013,2022,Workforce,2022-Chapter-II-Health-Resources.xlsx,2.28,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-013,2023,Workforce,Statistical-Yearbook-2023.xlsx,33,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-013,2024,Workforce,Statistical-Yearbook-2024.xlsx,2-38,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-014,2021,Workforce,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-33,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-014,2022,Workforce,2022-Chapter-II-Health-Resources.xlsx,2-33,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-014,2023,Workforce,Statistical-Yearbook-2023.xlsx,38,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-014,2024,Workforce,Statistical-Yearbook-2024.xlsx,2-39,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,,,,,PENDING
FY-015,2021,Workforce,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,40,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
FY-015,2022,Workforce,2022-Chapter-II-Health-Resources.xlsx,2.40,Year × National / Other Geography × Workforce Type / Profession,UNKNOWN_OR_NATIONAL,COUNT,,,,PENDING
