comparison_group_id,source_year,workbook_name,sheet_name,topic,likely_table_title,probable_header_row,probable_data_start_row,header_non_empty_count,header_values_json,detected_geography,detected_units,total_terms_found,source_or_note_terms
FY-006,2022,2022-Chapter-II-Health-Resources.xlsx,2-4,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,11,12,14,"[""إجمالي طاقم التمريض والقابلات"", ""=C9+C10"", ""59.4"", ""=E9+E10"", ""59.7"", ""=G9+G10"", ""62.4"", ""=I9+I10"", ""63.1"", ""=K9+K10"", ""67.1"", ""Total Nurses and Midwives"", ""=O9+O10"", ""=O11/K11""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-006,2023,Statistical-Yearbook-2023.xlsx,4.,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,5,6,14,"[""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-006,2024,Statistical-Yearbook-2024.xlsx,2-17,Workforce,Health Manpower in KSA Health Sectors in the Last Five Years,5,6,16,"[""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%"", ""العدد No"", ""% سعودي Saudi%""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total,
FY-007,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-5,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2021G",7,8,16,"[""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-007,2022,2022-Chapter-II-Health-Resources.xlsx,2-5,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2022G",7,8,16,"[""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-007,2023,Statistical-Yearbook-2023.xlsx,5.,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2023G",7,8,16,"[""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-007,2024,Statistical-Yearbook-2024.xlsx,2-19,Workforce | Activity,"Physicians and Dentists in KSA Health Sectors by Speciality and Professional Categories, 2024G",7,8,16,"[""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total"", ""Resident"", ""Registrar"", ""Consultant"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-008,2021,statistical-yearbook-2021-chapter-II-health-resources.xlsx,2-8 ,Workforce,Health Manpower in MOH by Nationality in the Last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-008,2022,2022-Chapter-II-Health-Resources.xlsx,2-8 ,Workforce,Health Manpower in MoH by Nationality in the Last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-008,2023,Statistical-Yearbook-2023.xlsx,13.,Workforce,Health Manpower in MoH by Nationality in the Last Five Years,12,13,9,"[""إجمالي الأطباء"", ""سعودي"", ""=C6+C9"", ""=D6+D9"", ""=E6+E9"", ""=F6+F9"", ""=G6+G9"", ""Saudi"", ""Total Physicians and Dentists""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
