comparison_group_id,source_year,workbook_name,sheet_name,topic,likely_table_title,probable_header_row,probable_data_start_row,header_non_empty_count,header_values_json,detected_geography,detected_units,total_terms_found,source_or_note_terms
FY-018,2023,Statistical-Yearbook-2023.xlsx,7..,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2023G.",6,7,5,"[""Cases offered first aid, Transported to hospitals"", ""عدد المراكز"", ""متوسط عدد الحالات للمركز"", ""عدد السيارت"", ""متوسط عدد الحالات للسيارة""]",HEALTH_REGION,COUNT,total | المجموع,
FY-018,2024,Statistical-Yearbook-2024.xlsx,4-8,Capacity,"First Aid Centers and Ambulances of the Saudi Red Crescent Authority by Administrative Region, 2024G.",6,7,5,"[""Cases offered first aid, Transported to hospitals"", ""عدد المراكز"", ""متوسط عدد الحالات للمركز"", ""عدد السيارت"", ""متوسط عدد الحالات للسيارة""]",HEALTH_REGION,COUNT,total | المجموع,
FY-020,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,12,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,5,6,5,"[""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-020,2022,2022-Chapter-IV-Health-Activities.xlsx,12,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,9,10,7,"[""المجموع"", ""=B8+B7+B6"", ""=C8+C7+C6"", ""=D8+D7+D6"", ""=E8+E7+E6"", ""=F8+F7+F6"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-020,2023,Statistical-Yearbook-2023.xlsx,12..,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,9,10,7,"[""المجموع"", ""=B8+B7+B6"", ""=C8+C7+C6"", ""=D8+D7+D6"", ""=E8+E7+E6"", ""=SUM(F6:F8)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-020,2024,Statistical-Yearbook-2024.xlsx,4-15,Population | Activity,زيارات المراجعين للقطاعات الصحية بالمملكة ومتوسط عدد الزيارات لكل فرد من السكان في الأعوام الخمسة الأخيرة,9,10,7,"[""المجموع"", ""=B8+B7+B6"", ""=C8+C7+C6"", ""=D8+D7+D6"", ""=SUM(E6:E8)"", ""=SUM(F6:F8)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-021,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,15,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2021G.",5,6,7,"[""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""ICD-10 Code""]",UNKNOWN_OR_NATIONAL,,total | المجموع,المصدر | مصدر
FY-021,2022,2022-Chapter-IV-Health-Activities.xlsx,15,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2022G.",5,6,7,"[""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""ICD-10 Code""]",UNKNOWN_OR_NATIONAL,,total | المجموع,المصدر | مصدر
FY-021,2023,Statistical-Yearbook-2023.xlsx,15..,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2023G.",5,6,7,"[""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""ICD-10 Code""]",UNKNOWN_OR_NATIONAL,,total | المجموع,المصدر | مصدر
FY-021,2024,Statistical-Yearbook-2024.xlsx,4-18,Activity,"Outpatients and Inpatients in Mental Health Departments, MOH, According to Main Disease Groups of ICD-10, 2024G.",5,6,7,"[""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""جديد New"", ""متردد Repeated"", ""المجموع Total"", ""ICD-10 Code""]",UNKNOWN_OR_NATIONAL,RATE,total | المجموع,source | المصدر | مصدر
FY-022,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,25,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2021G",15,17,6,"[""المجموع"", ""..."", ""..."", ""=SUM(D8:D14)"", ""..."", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,
FY-022,2022,2022-Chapter-IV-Health-Activities.xlsx,24,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2022G",15,16,6,"[""المجموع"", ""..."", ""..."", ""=SUM(D8:D14)"", ""..."", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,
FY-022,2023,Statistical-Yearbook-2023.xlsx,24.,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2023G",15,16,6,"[""المجموع"", ""..."", ""..."", ""=SUM(D8:D14)"", ""..."", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,
FY-022,2024,Statistical-Yearbook-2024.xlsx,4-27,Capacity | Activity,"Inpatients in Other Governmental Sector Hospitals by Nationality, 2024G",15,16,6,"[""المجموع"", ""..."", ""..."", ""=SUM(D8:D14)"", ""..."", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,
FY-023,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,26,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",5,6,5,"[""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-023,2022,2022-Chapter-IV-Health-Activities.xlsx,25,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",9,10,7,"[""المجموع"", ""3621768"", ""3613224"", ""=SUM(D6:D8)"", ""=SUM(E6:E8)"", ""=SUM(F6:F8)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-023,2023,Statistical-Yearbook-2023.xlsx,25.,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",9,10,7,"[""المجموع"", ""3613224"", ""=SUM(C6:C8)"", ""=SUM(D6:D8)"", ""=SUM(E6:E8)"", ""=SUM(F6:F8)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-023,2024,Statistical-Yearbook-2024.xlsx,4-31,Capacity | Activity,"Inpatients in Health Sectors Hospitals, KSA in the last Five Years",9,10,7,"[""المجموع"", ""=SUM(B6:B8)"", ""=SUM(C6:C8)"", ""=SUM(D6:D8)"", ""=SUM(E6:E8)"", ""=SUM(F6:F8)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-024,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,31,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2021G",7,8,13,"[""General Surgery"", ""Cardiac, Chest and Vascular"", ""Urology"", ""Plastic"", ""Orthopedics"", ""E.N.T"", ""Faciodental"", ""Pediatric Surgery"", ""OBS/GYN"", ""Ophthalmology"", ""Neurosurgery"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-024,2022,2022-Chapter-IV-Health-Activities.xlsx,30,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2022G",7,8,13,"[""General Surgery"", ""Cardiac, Chest and Vascular"", ""Urology"", ""Plastic"", ""Orthopedics"", ""E.N.T"", ""Faciodental"", ""Pediatric Surgery"", ""OBS/GYN"", ""Ophthalmology"", ""Neurosurgery"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-024,2023,Statistical-Yearbook-2023.xlsx,30.,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2023G",7,8,13,"[""General Surgery"", ""Cardiac, Chest and Vascular"", ""Urology"", ""Plastic"", ""Orthopedics"", ""E.N.T"", ""Faciodental"", ""Pediatric Surgery"", ""OBS/GYN"", ""Ophthalmology"", ""Neurosurgery"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-024,2024,Statistical-Yearbook-2024.xlsx,4-37,Capacity | Activity,"Surgical Interventions at Other Governmental Sector Hospitals by Section, 2024G",7,8,13,"[""General Surgery"", ""Cardiac, Chest and Vascular"", ""Urology"", ""Plastic"", ""Orthopedics"", ""E.N.T"", ""Faciodental"", ""Pediatric Surgery"", ""OBS/GYN"", ""Ophthalmology"", ""Neurosurgery"", ""Others"", ""Total""]",UNKNOWN_OR_NATIONAL,,total | المجموع,
FY-025,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,32,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",14,15,7,"[""المجموع"", ""=SUM(C10:C13)"", ""=SUM(D10:D13)"", ""=SUM(E10:E13)"", ""=SUM(F10:F13)"", ""=SUM(G10:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-025,2022,2022-Chapter-IV-Health-Activities.xlsx,31,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",14,15,7,"[""المجموع"", ""=SUM(C10:C13)"", ""=SUM(D10:D13)"", ""=SUM(E10:E13)"", ""=SUM(F10:F13)"", ""=SUM(G10:G13)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-025,2023,Statistical-Yearbook-2023.xlsx,31.,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",4,5,9,"[""البيان"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""Item""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-025,2024,Statistical-Yearbook-2024.xlsx,4-39,Capacity | Activity,"Main Activities and Services at King Khaled Eye Specialist Hospital, in the last Five Years",4,5,10,"[""البيان"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""2024G"", ""Item""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-026,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,34,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2021G.",5,6,6,"[""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,source | المصدر | مصدر
FY-026,2022,2022-Chapter-IV-Health-Activities.xlsx,33,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2022G.",5,6,6,"[""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,source | المصدر | مصدر
FY-026,2023,Statistical-Yearbook-2023.xlsx,33.,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2023G.",5,6,6,"[""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,source | المصدر | مصدر
FY-026,2024,Statistical-Yearbook-2024.xlsx,4-41,Capacity,"Cases of Tumours among Children Referred to King Faisal Specialist Hospital by Site, 2024G.",5,6,6,"[""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %"", ""العدد .No"", ""النسبة %""]",UNKNOWN_OR_NATIONAL,COUNT | PERCENT,total | المجموع,source | المصدر | مصدر
FY-028,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,44,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",4,5,7,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-028,2022,2022-Chapter-IV-Health-Activities.xlsx,42,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",4,5,7,"[""النشاط"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-028,2023,Statistical-Yearbook-2023.xlsx,43.,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",4,5,9,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-028,2024,Statistical-Yearbook-2024.xlsx,4-55,Activity,"Laboratory Investigations and Number of Radiology & Physiotherapy patients at MoH Facilities, in the last Five Years",4,5,10,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""2024G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-029,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,47,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2021م.,4,5,7,"[""المنطقة الصحية"", ""عدد الفحوصات لنقل الدم"", ""عدد فحوصات الأمراض المعدية"", ""إجمالي الفحوص"", ""عدد وحدات الدم المتبرع بها"", ""عدد وحدات الدم المنقولة للمرضى"", ""Health Region""]",HEALTH_REGION,COUNT,total,
FY-029,2022,2022-Chapter-IV-Health-Activities.xlsx,45,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2022م.,4,5,5,"[""المنطقة الصحية"", ""إجمالي الفحوص"", ""عدد وحدات الدم المتبرع بها"", ""عدد وحدات الدم المنقولة للمرضى"", ""Health Region""]",HEALTH_REGION,COUNT,total,
FY-029,2023,Statistical-Yearbook-2023.xlsx,46.,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2023م.,4,5,5,"[""المنطقة الصحية"", ""إجمالي الفحوص"", ""عدد وحدات الدم المتبرع بها"", ""عدد وحدات الدم المنقولة للمرضى"", ""Health Region""]",HEALTH_REGION,COUNT,total,
FY-029,2024,Statistical-Yearbook-2024.xlsx,4-59,Activity,أنشطة بنوك الدم بوزارة الصحة حسب المنطقة الصحية عام 2024م.,4,5,5,"[""المنطقة الصحية"", ""عدد الفحوص"", ""عدد المتبرعين بالدم"", ""عدد وحدات الدم المنقولة للمرضى"", ""Health Region""]",HEALTH_REGION,COUNT,,
FY-030,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,48,Activity,Table 4-48,4,5,7,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-030,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,54,Activity,Table 4-54,4,5,9,"[""التخصص"", ""أمريكا"", ""ألمانيا"", ""بريطانيا"", ""إيطاليا"", ""فرنسا"", ""اسبانيا"", ""الإجمالي"", ""Specialty""]",UNKNOWN_OR_NATIONAL,COUNT,total | الإجمالي | المجموع,
FY-030,2022,2022-Chapter-IV-Health-Activities.xlsx,46,Activity,Table 4-46,4,5,7,"[""النشاط"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-030,2022,2022-Chapter-IV-Health-Activities.xlsx,52,Activity,Table 4-52,4,5,9,"[""التخصص"", ""أمريكا"", ""ألمانيا"", ""بريطانيا"", ""إيطاليا"", ""فرنسا"", ""اسبانيا"", ""الإجمالي"", ""Specialty""]",UNKNOWN_OR_NATIONAL,COUNT,total | الإجمالي | المجموع,
FY-030,2023,Statistical-Yearbook-2023.xlsx,47.,Activity,Table 4-47,4,5,9,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-030,2023,Statistical-Yearbook-2023.xlsx,53.,Activity,Table 4-53,4,5,9,"[""التخصص"", ""أمريكا"", ""ألمانيا"", ""بريطانيا"", ""إيطاليا"", ""فرنسا"", ""اسبانيا"", ""الإجمالي"", ""Specialty""]",UNKNOWN_OR_NATIONAL,COUNT,total | الإجمالي | المجموع,
FY-030,2023,Statistical-Yearbook-2023.xlsx,5-12,Activity,Table 5-12,9,10,7,"[""الإجمالي"", ""=SUM(B5:B8)"", ""=SUM(C5:C8)"", ""=SUM(D5:D8)"", ""=SUM(E5:E8)"", ""=SUM(F5:F8)"", ""Total""]",HEALTH_REGION,,total | الإجمالي,
FY-030,2024,Statistical-Yearbook-2024.xlsx,4-60,Activity,Table 4-60,4,5,10,"[""النشاط"", ""2017G"", ""2018G"", ""2019G"", ""2020G"", ""2021G"", ""2022G"", ""2023G"", ""2024G"", ""Activity""]",UNKNOWN_OR_NATIONAL,COUNT,,
FY-030,2024,Statistical-Yearbook-2024.xlsx,4-64,Activity,Table 4-64,4,5,9,"[""التخصص"", ""أمريكا"", ""ألمانيا"", ""بريطانيا"", ""إيطاليا"", ""فرنسا"", ""اسبانيا"", ""الإجمالي"", ""Specialty""]",UNKNOWN_OR_NATIONAL,COUNT,total | الإجمالي,
FY-030,2024,Statistical-Yearbook-2024.xlsx,5-12,Activity,Table 5-12,9,10,7,"[""الإجمالي"", ""=SUM(B5:B8)"", ""=SUM(C5:C8)"", ""=SUM(D5:D8)"", ""=SUM(E5:E8)"", ""=SUM(F5:F8)"", ""Total""]",HEALTH_REGION,,total | الإجمالي,
FY-031,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,49,Capacity | Activity,King Faisal Specialist Hospital,13,17,6,"[""المجموع"", ""=SUM(B6:B12)"", ""=SUM(C6:C12)"", ""=SUM(D6:D12)"", ""=SUM(E6:E12)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-031,2022,2022-Chapter-IV-Health-Activities.xlsx,47,Capacity | Activity,King Faisal Specialist Hospital,13,14,6,"[""المجموع"", ""=SUM(B6:B12)"", ""=SUM(C6:C12)"", ""=SUM(D6:D12)"", ""=SUM(E6:E12)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-031,2023,Statistical-Yearbook-2023.xlsx,48.,Capacity | Activity,King Faisal Specialist Hospital,13,14,6,"[""المجموع"", ""=SUM(B6:B12)"", ""=SUM(C6:C12)"", ""=SUM(D6:D12)"", ""=SUM(E6:E12)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-031,2024,Statistical-Yearbook-2024.xlsx,4-61,Capacity | Activity,King Faisal Specialist Hospital,12,13,6,"[""المجموع"", ""=SUM(B6:B11)"", ""=SUM(C6:C11)"", ""=SUM(D6:D11)"", ""=SUM(E6:E11)"", ""Total""]",UNKNOWN_OR_NATIONAL,COUNT,total | المجموع,
FY-032,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig1,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),9,10,2,"[""YearMonth"", ""Waiting Time for 3rd Appointment (Days)""]",UNKNOWN_OR_NATIONAL,,,
FY-032,2022,2022-Chapter-IV-Health-Activities.xlsx,fig1,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),15,16,2,"[""2022-Jul"", ""11.24457488438278""]",UNKNOWN_OR_NATIONAL,,,
FY-032,2023,Statistical-Yearbook-2023.xlsx,fig1,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),15,16,2,"[""2022-Jul"", ""11.24457488438278""]",UNKNOWN_OR_NATIONAL,,,
FY-032,2024,Statistical-Yearbook-2024.xlsx,fig1,Activity,العيادات الخارجية – متوسط وقت الانتظار للموعد (بالايام),2,39,1,"[""Outpatient - Waiting Time for an Appointment (in days)""]",UNKNOWN_OR_NATIONAL,,,
FY-033,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig2,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,8,9,2,"[""YearMonth"", ""% Disposed patients within 4 Hrs""]",UNKNOWN_OR_NATIONAL,PERCENT,,
FY-033,2022,2022-Chapter-IV-Health-Activities.xlsx,fig2,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,8,9,2,"[""YearMonth"", ""% Disposed patients within 4 Hrs""]",UNKNOWN_OR_NATIONAL,PERCENT,,
FY-033,2023,Statistical-Yearbook-2023.xlsx,fig2,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,8,9,2,"[""YearMonth"", ""% Disposed patients within 4 Hrs""]",UNKNOWN_OR_NATIONAL,PERCENT,,
FY-033,2024,Statistical-Yearbook-2024.xlsx,fig2,Activity,قسم الطوارئ – نسبة المرضى الذين انهيت اجراءاتهم خلال 4 ساعات,2,36,1,"[""Emergency Deparment - % of Patients Disposed in 4 Hours""]",UNKNOWN_OR_NATIONAL,PERCENT,,
FY-034,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig3,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),7,8,2,"[""Year Month"", ""Average Length of Stay""]",UNKNOWN_OR_NATIONAL,,,
FY-034,2022,2022-Chapter-IV-Health-Activities.xlsx,fig3,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),7,8,2,"[""Year Month"", ""Average Length of Stay""]",UNKNOWN_OR_NATIONAL,,,
FY-034,2023,Statistical-Yearbook-2023.xlsx,fig3,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),7,8,2,"[""Year Month"", ""Average Length of Stay""]",UNKNOWN_OR_NATIONAL,,,
FY-034,2024,Statistical-Yearbook-2024.xlsx,fig3,Capacity,متوسط مدة الإقامة للمرضى داخل المستشفى (بالأيام),2,40,1,"[""Inpatient Average Length of Stay (in days)""]",UNKNOWN_OR_NATIONAL,,,
FY-036,2021,statistical-yearbook-2021-chapter-IV-health-activities.xlsx,fig5,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),6,7,2,"[""Year Month"", ""Waiting Time, Days""]",UNKNOWN_OR_NATIONAL,,,
FY-036,2022,2022-Chapter-IV-Health-Activities.xlsx,fig5,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),6,7,2,"[""Year Month"", ""Waiting Time, Days""]",UNKNOWN_OR_NATIONAL,,,
FY-036,2023,Statistical-Yearbook-2023.xlsx,fig5,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),6,7,2,"[""Year Month"", ""Waiting Time, Days""]",UNKNOWN_OR_NATIONAL,,,
FY-036,2024,Statistical-Yearbook-2024.xlsx,fig5,Activity,غرفة العمليات – متوسط وقت انتظار الجراحة (بالأيام),2,3,1,"[""Operating Room - Surgical Waiting Time (in days)""]",UNKNOWN_OR_NATIONAL,,,
