Year,GeographyType,Geography,Sector,CapacityMeasure,Value,Unit,SourceGroup,SourceWorkbook,SourceSheet
2022,Administrative Region,Hail,Saudi Red Crescent Authority,Ambulances,56,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Hail,Saudi Red Crescent Authority,First Aid Centers,16,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Jazan,Saudi Red Crescent Authority,Ambulances,64,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Jazan,Saudi Red Crescent Authority,First Aid Centers,24,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Madinah,Saudi Red Crescent Authority,Ambulances,106,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Madinah,Saudi Red Crescent Authority,First Aid Centers,39,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Makkah,Saudi Red Crescent Authority,Ambulances,283,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Makkah,Saudi Red Crescent Authority,First Aid Centers,98,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Najran,Saudi Red Crescent Authority,Ambulances,59,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Najran,Saudi Red Crescent Authority,First Aid Centers,15,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Northern Borders,Saudi Red Crescent Authority,Ambulances,46,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Northern Borders,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Qassim,Saudi Red Crescent Authority,Ambulances,94,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Qassim,Saudi Red Crescent Authority,First Aid Centers,29,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Riyadh,Saudi Red Crescent Authority,Ambulances,304,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Riyadh,Saudi Red Crescent Authority,First Aid Centers,111,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Tabuk,Saudi Red Crescent Authority,Ambulances,79,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,Administrative Region,Tabuk,Saudi Red Crescent Authority,First Aid Centers,26,Count,FY-018,2022-Chapter-IV-Health-Activities.xlsx,7
2022,National,Saudi Arabia,All Sectors,"Beds per 10,000 population",24.3,"Beds per 10,000 population",FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Ministry of Health,Beds,45470,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Ministry of Health,Hospitals,287,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Other Governmental Sector,Beds,15157,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Other Governmental Sector,Hospitals,52,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Private Sector,Beds,17813,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2022,National,Saudi Arabia,Private Sector,Hospitals,154,Count,FY-005,2022-Chapter-II-Health-Resources.xlsx,2-2
2023,Administrative Region,Al Baha,Saudi Red Crescent Authority,Ambulances,34,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Al Baha,Saudi Red Crescent Authority,First Aid Centers,16,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Al Jouf,Saudi Red Crescent Authority,Ambulances,36,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
2023,Administrative Region,Al Jouf,Saudi Red Crescent Authority,First Aid Centers,14,Count,FY-018,Statistical-Yearbook-2023.xlsx,7..
