Year,GeographyType,Geography,Sector,WorkforceType,WorkforceCount,SaudiPercent,Unit,SourceGroup,SourceWorkbook,SourceSheet
2023,National,Saudi Arabia,Other Governmental Sector,Dentists,2238,83.9,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Other Governmental Sector,Midwives,632,24.8,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Other Governmental Sector,Nurses,44026,40,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Other Governmental Sector,Pharmacists,3386,87,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Other Governmental Sector,Physicians,19803,58.1,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Allied Health Personnel,38114,55.3,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Dentists,16676,33.3,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Midwives,2676,1.1,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Nurses,60331,6.8,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Pharmacists,28651,26.8,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2023,National,Saudi Arabia,Private Sector,Physicians,35237,19.9,Persons,FY-006,Statistical-Yearbook-2023.xlsx,4.
2024,National,Saudi Arabia,Ministry of Health,Allied Health Personnel,98325,97.5,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Ministry of Health,Dentists,9331,92.4,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Ministry of Health,Midwives,2408,60.1,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Ministry of Health,Nurses,117122,64.7,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Ministry of Health,Pharmacists,5391,97.2,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Ministry of Health,Physicians,67403,53.3,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Allied Health Personnel,36429,90.3,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Dentists,4184,85.7,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Midwives,922,24.8,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Nurses,48751,44.9,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Pharmacists,4516,89.7,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Other Governmental Sector,Physicians,23392,63.8,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Allied Health Personnel,87306,75.2,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Dentists,20236,36.5,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Midwives,2809,1.6,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Nurses,77463,11,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Pharmacists,36949,35.2,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
2024,National,Saudi Arabia,Private Sector,Physicians,38977,11.1,Persons,FY-006,Statistical-Yearbook-2024.xlsx,2-17
